lat,lon,date,temp,precip,is_fire
39.1408865,-122.9148951,8/30/2016,21.1,0,TRUE
33.11645,-116.58542,7/11/2016,20.6,0.1,TRUE
36.217,-118.551,10/20/2016,17.3,0,TRUE
38.57554,-120.00606,8/18/2016,19.1,0.04,TRUE
35.01382,-119.58206,6/4/2016,25.4,0,TRUE
35.84883,-118.08591,6/1/2016,30.8,0,TRUE
34.6888731,-118.7892593,4/19/2016,19.7,0,TRUE
34.41521,-119.09124,12/4/2017,15.4,0,TRUE
34.41521,-119.09124,12/4/2017,15.4,0,TRUE
40.07045,-120.14013,7/11/2017,24.7,0,TRUE
37.61757,-120.21321,7/16/2017,28.6,0,TRUE
41.841,-123.474,8/15/2017,14.1,0,TRUE
38.4041,-122.5209,10/8/2017,18.5,0,TRUE
38.4041,-122.5209,10/8/2017,18.5,0,TRUE
38.39206,-122.24367,10/8/2017,19.3,0.03,TRUE
38.39206,-122.24367,10/8/2017,19.3,0.03,TRUE
35.93273,-120.20014,7/9/2017,28.4,0,TRUE
42.039,-123.218,8/14/2017,20.6,0,TRUE
